id,limnsw(cm)
0,4.9223
1,3.7390
2,30.9072
3,12.7219
4,0.3418
5,23.6944
6,21.3683
7,12.2765
8,19.5079
9,6.4640
10,4.2125
11,-0.8702
12,20.9176
13,3.1021
14,16.9437
15,3.6656
16,14.9684
17,3.9519
18,12.6288
19,17.9207
20,29.3942
21,34.6289
22,4.5945
23,0.8394
24,33.9214
25,33.4402
26,5.4220
27,23.5911
28,33.8930
29,18.5657
30,7.1114
31,16.7108
32,18.8755
33,29.7730
34,26.6453
35,19.1938
36,29.7846
37,35.3110
38,15.4909
39,31.7073
40,13.4415
41,6.2844
42,10.9698
43,16.8355
44,23.0431
45,21.5760
46,7.5090
47,33.2833
48,35.0520
49,26.2255
50,41.0629
51,19.8604
52,12.8753
53,10.6153
54,26.3520
55,14.7601
56,18.8102
57,20.2057
58,19.4032
59,15.6099
60,12.3676
61,20.9556
62,15.5203
63,10.1580
64,5.9386
65,16.1239
66,9.8243
67,23.2895
68,10.0524
69,16.3099
70,22.9843
71,0.6156
72,36.0170
73,1.2574
74,16.6913
75,24.6879
76,11.9453
77,22.7672
78,16.8220
79,22.4872
80,15.6271
81,2.9717
82,19.7455
83,5.1129
84,28.4663
85,18.9765
86,5.7008
87,33.3729
88,7.9057
89,23.7678
90,27.9768
91,19.9141
92,16.5463
93,6.8541
94,36.7369
95,36.4251
96,0.1711
97,21.6495
98,9.1306
99,-0.0107
100,14.7456
101,13.4773
102,10.9045
103,11.3077
104,17.9344
105,8.5489
106,15.0046
107,13.1277
108,12.8619
109,22.3505
110,21.9849
111,9.3517
112,26.0541
114,19.2388
115,34.3695
116,14.7341
117,22.1720
118,5.7532
119,13.7168
120,24.1972
121,35.2718
122,16.5728
123,10.9876
124,16.2166
125,16.6401
126,41.2517
127,8.3496
128,15.9871
129,25.7094
130,9.7460
131,3.4463
132,18.3951
133,9.7418
134,39.5541
135,16.0386
136,32.1291
137,21.9726
138,34.0711
139,21.5166
140,7.9491
141,34.8792
142,7.9697
143,0.5884
144,15.4345
145,25.4492
146,19.5087
147,11.7357
148,23.9350
149,7.7411
150,10.5555
151,36.1312
152,17.3020
153,28.3968
154,17.1697
155,35.9506
156,11.5206
157,20.4377
158,7.7220
159,13.8539
160,3.3499
161,27.8757
162,23.6345
163,33.2886
164,19.9515
165,11.8322
166,21.6670
167,22.7173
169,12.6348
170,1.9079
171,18.4053
172,20.1711
173,11.8652
174,23.3956
175,31.9052
176,8.8339
177,19.6393
178,27.1105
179,20.8312
180,28.1666
181,8.6604
182,9.6753
183,1.3695
184,17.3048
185,24.4514
186,19.9544
187,3.3876
188,31.8947
189,18.4504
190,18.9315
191,20.7587
192,10.6057
193,19.5564
194,15.3014
195,23.8536
196,7.0510
197,9.4824
198,9.1406
199,14.0870
200,14.9462
201,1.5507
202,19.6896
203,14.2544
204,11.3173
205,20.8857
206,5.9844
207,16.1114
208,9.6916
209,5.6068
210,19.4691
211,34.1200
212,14.3632
213,17.1266
214,22.4715
215,21.9992
216,14.0701
217,15.1544
218,17.6955
219,11.8870
220,11.7778
221,25.1261
222,-2.4001
223,17.6137
224,11.6020
225,11.8820
226,29.5270
227,18.5036
228,9.9615
229,11.1668
230,26.5231
231,41.3282
232,6.3460
233,28.5704
234,22.5229
236,5.9883
237,4.9192
238,34.0865
239,-0.4461
240,36.2373
241,16.3374
242,25.3102
243,32.5592
244,17.4103
245,11.6586
246,29.2075
247,36.1813
248,8.2280
249,6.9263
250,23.3915
251,8.8151
252,12.2601
253,19.1289
254,17.6490
255,13.2280
256,12.0498
257,20.5145
259,16.4471
260,21.4143
261,14.8115
262,11.1617
263,6.9502
264,9.1635
265,17.3892
266,17.6551
267,14.5245
268,13.7450
269,18.4468
270,5.8583
271,19.6306
272,18.5668
273,12.8256
274,25.6694
275,12.9344
276,10.2897
277,10.8552
278,5.2374
279,9.2721
280,34.1290
281,29.3796
282,21.9549
283,14.7974
284,13.6964
285,15.5073
286,3.7585
287,11.1142
288,26.7802
289,26.4461
290,14.1421
291,16.3180
292,12.6340
293,16.0406
294,19.4692
295,-1.5006
296,20.9359
297,11.8872
298,14.1144
299,15.3512
301,28.1909
302,12.1856
303,29.5059
304,11.9809
305,13.2338
306,11.0016
308,21.3189
309,23.8364
310,8.7259
311,12.0663
312,18.7735
313,9.4653
314,20.8121
316,24.0940
317,16.4426
318,9.3132
319,6.2899
320,20.1248
321,28.1719
322,33.4546
323,25.1755
324,27.2115
325,26.9905
326,13.2084
327,21.4396
328,31.6628
329,11.1292
330,32.3613
331,10.6778
332,22.8658
333,7.7321
334,15.5606
335,17.1712
336,14.7032
337,3.9585
338,6.1860
339,20.8592
340,12.4302
341,10.2390
342,22.9032
343,18.1491
344,20.1538
346,27.0816
347,23.6698
348,34.1025
